Trait,Name,Rarity,Strength (0-100),Weakness
background,Destroyed City,48,10,
background,Green,1654,1,
background,Beach,68,5,
background,Moon,13,5,
background,Lightning,10,5,
background,Pink,1588,2,
background,Yellow,1638,3,
background,Orange,1603,3,
background,Blue,1637,3,
background,Rainbow,48,10,
background,Serenity,40,10,
background,Graveyard,34,15,
background,Purple,1545,5,
background,Blockchain,74,15,
hat,Beret,221,25,
hat,Karate,118,65,
hat,Bandana,201,30,
hat,Butcher,161,75,
hat,Jester,154,50,
hat,Man Bun,399,20,
hat,Gel,356,25,
hat,None,691,70,
hat,Cowlick,380,40,
hat,Blonde,363,45,
hat,Crown,64,75,
hat,Bowler,374,60,
hat,Dreads,356,75,
hat,Sun Hat,307,30,
hat,Robin Hood,225,20,
hat,Mohawk,166,80,
hat,Raccoon,276,35,
hat,Headphones,153,60,
hat,Wizard,192,90,
hat,Twirly,146,35,
hat,Wet,148,30,
hat,Santa,98,80,
hat,Military,339,80,
hat,Viking,323,85,
hat,Firefighter,174,55,
hat,Plunger,232,35,
hat,Visor,255,15,
hat,Fedora,266,25,
hat,Helmet,266,50,
hat,Russian,202,65,
hat,Knight Helmet,80,90,
hat,Captain,92,70,
hat,Bull Horns,30,85,
hat,Afro,359,65,
hat,Baseball,342,35,
hat,Pumpkin,178,55,
hat,Astronaut,138,80,
hat,Pilot,180,65,
hat,Cowboy,162,75,
hat,Business,353,60,
hat,Cat,121,35,
hat,Disheveled,359,40,
eyes,Bulging,359,60,
eyes,Eyebrow Raise,746,55,
eyes,Tattoo,353,70,
eyes,Machine,210,75,
eyes,Cat,419,25,
eyes,Dark,416,65,
eyes,Clown,238,75,
eyes,Laser Beam,57,95,
eyes,Scar,451,45,
eyes,Ninja,173,60,
eyes,Night Vision,127,80,
eyes,Both Brow Raise,204,50,
eyes,Monocle,228,70,
eyes,Mischievious,820,45,
eyes,Visor,158,40,
eyes,Hypnotized,476,35,
eyes,Wolf,480,45,
eyes,Visor Down,11,95,
eyes,Disguise,188,65,
eyes,3D,100,80,
eyes,Laser,147,85,
eyes,Normal,851,50,
eyes,Safety,521,25,
eyes,Aviator,443,65,
eyes,Deep,858,35,
eyes,Zombie,649,85,
eyes,Glowing,205,90,
eyes,Cyclops,112,95,
nose,Nostrils,2631,20,
nose,Solid,5175,15,
nose,No Nose,2093,10,
nose,Bull Ring,90,25,
nose,None,11,20,
skin,Giraffe,459,75,
skin,Rainbow,208,80,
skin,Purple,781,45,
skin,Blue,924,40,
skin,Flesh,704,65,
skin,Metal,134,75,
skin,Leopard,504,80,
skin,Green,910,50,
skin,Tattoo,308,60,
skin,Tiger,396,80,
skin,Cyborg,194,90,
skin,Gray,951,35,
skin,Pink,733,45,
skin,Decay,679,95,
skin,Red,731,45,
skin,Black,942,25,
skin,Gold,94,35,
skin,Reptile,348,70,
mouth,Mischevious,698,50,
mouth,Pipe,179,40,
mouth,Gold Grill,63,75,
mouth,Thoughtful,448,20,
mouth,Grin,354,30,
mouth,Cowboy,224,55,
mouth,Diamond Grill,25,75,
mouth,Smug,705,65,
mouth,Cigar Goatee,45,80,
mouth,Predator,195,90,
mouth,None,11,50,
mouth,Stitches,328,20,
mouth,Clown,373,15,
mouth,Wolf,527,55,
mouth,Hockey,452,70,
mouth,Knight,394,40,
mouth,Rainbow Grill,149,85,
mouth,Ninja,247,70,
mouth,Fancy,297,45,
mouth,Smile,852,30,
mouth,Dandy,374,20,
mouth,Beard,750,45,
mouth,Tongue,115,70,
mouth,Gas Mask,82,85,
mouth,Billy Bob Teeth,270,45,
mouth,Cigar,190,50,
mouth,Vampire,205,65,
mouth,Pipe With Beard,53,75,
mouth,Grin Beard,668,45,
mouth,Shark,583,40,
mouth,Knife,144,90,
chain,Chains,93,75,
chain,Bullets,251,50,
chain,Lock,98,45,
chain,Snake,62,70,
chain,Spikes,102,65,
chain,None,8174,40,
chain,Silver,506,35,
chain,Gold,527,55,
chain,Moon Man,77,90,
chain,Cuffs,110,60,
weapon,Rifle,485,75,
weapon,Arrows,766,40,
weapon,Unicorn Rainbow Baby,26,80,
weapon,Axe,125,60,
weapon,Unicorn Rainbow Fully Fledged,37,90,
weapon,Batons,1081,50,
weapon,Shotgun,164,85,
weapon,Sword,1566,50,
weapon,Knight,76,45,
weapon,Dragon,74,95,
weapon,Angel Baby,8,80,
weapon,Angel Fully Fledged,14,95,
weapon,None,5578,50,
clothing,Jester,218,40,
clothing,None,2162,75,
clothing,Maximalist,497,75,
clothing,Biker,288,65,
clothing,Cheerleader,267,50,
clothing,Scientist,245,45,
clothing,Pimp,290,80,
clothing,Clown,108,85,
clothing,Labyrinth,114,40,
clothing,UFO,269,60,
clothing,Cowboy,69,40,
clothing,Suit,554,25,
clothing,Caveman,275,30,
clothing,Voodoo,262,40,
clothing,Roman,164,65,
clothing,Astronaut,55,85,
clothing,Coat Hoodie,382,25,
clothing,Beater,558,53,
clothing,Business Coat,508,35,
clothing,Firefighter,255,65,
clothing,Wizard,126,90,
clothing,Oktoberfest,144,25,
clothing,Coat Top Button,380,35,
clothing,Superzombie,66,99,
clothing,Armor,81,90,
clothing,Pirate,296,70,
clothing,Hillbilly,140,45,
clothing,Shocker,106,80,
clothing,Plumber,106,45,
clothing,Nerd,167,20,
clothing,Hippie,292,5,
clothing,Renaissance,296,55,
clothing,Hip Hop,260,52,
earring,None,7202,10,
earring,Earbud,1325,20,
earring,Hoop,906,25,
earring,Eyeball,436,30,
earring,Diamond,131,35,
